Key,Gate,Velo,Time,Bar,part,PhoVal,id,Remain,Dynamic
86,240,60,43680,17,2,e,526,2,p
63,240,60,43680,17,5,e,527,2,p
53,240,60,43680,17,5,e,528,1,p
85,240,60,43920,17,2,e,529,2,p
68,240,60,43920,17,5,e,530,2,p
63,240,60,43920,17,5,e,531,1,p
58,240,60,43920,17,5,e,532,1,p
84,60,60,44160,17,2,t,533,2,p
34,240,60,44160,17,5,e,534,2,p
83,60,60,44220,17,2,t,535,2,p
82,60,60,44280,17,2,t,536,2,p
81,60,60,44340,17,2,t,537,2,p
80,60,60,44400,17,2,t,538,2,p
62,240,60,44400,17,5,e,539,2,p
53,240,60,44400,17,5,e,540,1,p
77,60,60,44460,17,2,t,541,2,p
74,60,60,44520,17,2,t,542,2,p
71,60,60,44580,17,2,t,543,2,p
70,60,60,44640,17,2,t,544,2,p
68,240,60,44640,17,5,e,545,2,p
62,240,60,44640,17,5,e,546,1,p
58,240,60,44640,17,5,e,547,1,p
74,60,60,44700,17,2,t,548,2,p
79,40,60,44760,17,2,z,549,2,p
77,40,60,44800,17,2,z,550,2,p
75,40,60,44840,17,2,z,551,2,p
75,960,60,44880,17,2,h,552,2,p
39,240,60,44880,17,5,e,553,2,p
63,240,60,45120,17,5,e,554,2,p
55,240,60,45120,17,5,e,555,1,p
67,240,60,45360,17,5,e,556,2,p
63,240,60,45360,17,5,e,557,1,p
58,240,60,45360,17,5,e,558,1,p
51,240,60,45600,17,5,e,559,2,p
74,240,60,45840,17,2,e,560,2,p
63,240,60,45840,17,5,e,561,2,p
55,240,60,45840,17,5,e,562,1,p
75,240,60,46080,17,2,e,563,2,p
67,240,60,46080,17,5,e,564,2,p
63,240,60,46080,17,5,e,565,1,p
58,240,60,46080,17,5,e,566,1,p
77,720,60,46320,18,2,c,567,2,p
46,240,60,46320,18,5,e,568,2,p
62,240,60,46560,18,5,e,569,2,p
53,240,60,46560,18,5,e,570,1,p
65,240,60,46800,18,5,e,571,2,p
62,240,60,46800,18,5,e,572,1,p
58,240,60,46800,18,5,e,573,1,p
79,480,60,47040,18,2,q,574,2,p
46,240,60,47040,18,5,e,575,2,p
62,240,60,47280,18,5,e,576,2,p
53,240,60,47280,18,5,e,577,1,p
77,240,60,47520,18,2,e,578,2,p
65,240,60,47520,18,5,e,579,2,p
62,240,60,47520,18,5,e,580,1,p
58,240,60,47520,18,5,e,581,1,p
77,720,60,47760,18,2,c,582,2,p
45,240,60,47760,18,5,e,583,2,p
60,240,60,48000,18,5,e,584,2,p
53,240,60,48000,18,5,e,585,1,p
65,240,60,48240,18,5,e,586,2,p
60,240,60,48240,18,5,e,587,1,p
72,720,60,48480,18,2,c,588,2,p
45,240,60,48480,18,5,e,589,2,p
60,240,60,48720,18,5,e,590,2,p
53,240,60,48720,18,5,e,591,1,p
65,240,60,48960,18,5,e,592,2,p
60,240,60,48960,18,5,e,593,1,p
75,180,60,49200,19,2,f,594,2,p
44,240,60,49200,19,5,e,595,2,p
75,180,60,49380,19,2,f,596,2,p
60,240,60,49440,19,5,e,597,2,p
51,240,60,49440,19,5,e,598,1,p
75,180,60,49560,19,2,f,599,2,p
63,240,60,49680,19,5,e,600,2,p
60,240,60,49680,19,5,e,601,1,p
56,240,60,49680,19,5,e,602,1,p
75,180,60,49740,19,2,f,603,2,p
75,240,60,49920,19,2,e,604,2,p
32,240,60,49920,19,5,e,605,2,p
74,120,60,50160,19,2,s,606,2,p
59,240,60,50160,19,5,e,607,2,p
51,240,60,50160,19,5,e,608,1,p
75,120,60,50280,19,2,s,609,2,p
77,180,60,50400,19,2,f,610,2,p
63,240,60,50400,19,5,e,611,2,p
59,240,60,50400,19,5,e,612,1,p
56,240,60,50400,19,5,e,613,1,p
75,60,60,50580,19,2,t,614,2,p
75,720,60,50640,19,2,c,615,2,p
51,240,60,50640,19,5,e,616,2,p
39,240,60,50640,19,5,e,617,1,p
63,240,60,50880,19,5,e,618,2,p
55,240,60,50880,19,5,e,619,1,p
67,240,60,51120,19,5,e,620,2,p
63,240,60,51120,19,5,e,621,1,p
58,240,60,51120,19,5,e,622,1,p
70,720,60,51360,19,2,c,623,2,p
51,240,60,51360,19,5,e,624,2,p
39,240,60,51360,19,5,e,625,1,p
63,240,60,51600,19,5,e,626,2,p
55,240,60,51600,19,5,e,627,1,p
67,240,60,51840,19,5,e,628,2,p
63,240,60,51840,19,5,e,629,1,p
58,240,60,51840,19,5,e,630,1,p
82,720,60,52080,20,2,c,631,2,f
40,240,60,52080,20,5,e,632,2,f
61,240,60,52320,20,5,e,633,2,f
52,240,60,52320,20,5,e,634,1,f
67,240,60,52560,20,5,e,635,2,f
61,240,60,52560,20,5,e,636,1,f
58,240,60,52560,20,5,e,637,1,f
81,480,60,52800,20,2,q,638,2,f
40,240,60,52800,20,5,e,639,2,f
60,240,60,53040,20,5,e,640,2,f
52,240,60,53040,20,5,e,641,1,f
79,240,60,53280,20,2,e,642,2,f
67,240,60,53280,20,5,e,643,2,f
60,240,60,53280,20,5,e,644,1,f
58,240,60,53280,20,5,e,645,1,f
77,720,60,53520,20,2,c,646,2,f
69,720,60,53520,20,2,c,647,1,f
41,240,60,53520,20,5,e,648,2,f
63,240,60,53760,20,5,e,649,2,f
53,240,60,53760,20,5,e,650,1,f
69,240,60,54000,20,5,e,651,2,f
63,240,60,54000,20,5,e,652,1,f
60,240,60,54000,20,5,e,653,1,f
74,720,60,54240,20,2,c,654,2,f
